rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
4;16000;46;3453;1.39064145088196;SQL_Server
4;16000;47;5157;3.07816386222839;SQL_Server
4;16000;48;3127;1.09376335144043;SQL_Server
4;16000;49;3436;1.39064192771912;SQL_Server
5;32000;0;4643;2.51565599441528;SQL_Server
5;32000;1;6124;4.00004982948303;SQL_Server
5;32000;2;4407;2.31252908706665;SQL_Server
5;32000;3;4763;2.64065766334534;SQL_Server
5;32000;4;4784;2.64065766334534;SQL_Server
5;32000;5;6436;4.35942959785461;SQL_Server
5;32000;6;4203;2.09377598762512;SQL_Server
5;32000;7;5204;3.09378790855408;SQL_Server
5;32000;8;4796;2.67190718650818;SQL_Server
5;32000;9;6064;3.95317411422729;SQL_Server
5;32000;10;6106;4.00005006790161;SQL_Server
5;32000;11;5127;2.98441195487976;SQL_Server
5;32000;12;4797;2.67190837860107;SQL_Server
5;32000;13;5953;3.76567220687866;SQL_Server
5;32000;14;6250;4.14067697525024;SQL_Server
5;32000;15;4173;2.03127503395081;SQL_Server
5;32000;16;4794;2.68753266334534;SQL_Server
5;32000;17;4596;2.50003123283386;SQL_Server
5;32000;18;5874;3.78129768371582;SQL_Server
5;32000;19;4376;2.26565361022949;SQL_Server
5;32000;20;5234;3.12503862380981;SQL_Server
5;32000;21;4626;2.51566815376282;SQL_Server
5;32000;22;6374;4.23442816734314;SQL_Server
5;32000;23;4156;2.03127503395081;SQL_Server
5;32000;24;4797;2.6875331401825;SQL_Server
5;32000;25;4703;2.57815623283386;SQL_Server
5;32000;26;6094;3.95317411422729;SQL_Server
5;32000;27;4190;2.04690051078796;SQL_Server
5;32000;28;5546;3.43754196166992;SQL_Server
5;32000;29;4687;2.53128099441528;SQL_Server
5;32000;30;6407;4.21880340576172;SQL_Server
5;32000;31;4263;2.10940074920654;SQL_Server
5;32000;32;4953;2.8437831401825;SQL_Server
5;32000;33;4674;2.54690432548523;SQL_Server
5;32000;34;5906;3.78129768371582;SQL_Server
5;32000;35;4344;2.21877813339233;SQL_Server
5;32000;36;5220;3.10941219329834;SQL_Server
